PLAYER,TYPE,ACTION,OPP,STATUS,PROJ,FG39/FGA39,FG49/FGA49,FG50+/FGA50+,FG/FGA,XP/XPA,FPTS,week
"Justin Tucker
Bal
K",,,@Pit,Sun 11:00 AM,8.2,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Harrison Butker
KC
K",,,@Min,Sun 2:25 PM,8.6,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Jake Elliott
Phi
K",,,@LAR,Sun 2:05 PM,8.7,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Evan McPherson
Cin
K",,,@Ari,Sun 2:05 PM,8.2,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Tyler Bass
Buf
K",,,Jax,Sun 7:30 AM,8.6,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Daniel Carlson
LV
K",,,GB,Mon 6:15 PM,7.9,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Jason Myers
Sea
K",,,*BYE*,--,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Jake Moody
SF
K",,,Dal,Sun 6:20 PM,8.2,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Younghoe Koo
Atl
K",,,Hou,Sun 11:00 AM,7.7,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Graham Gano
NYG
K",,,@Mia,Sun 11:00 AM,7.6,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Matt Gay
Ind
K",,,Ten,Sun 11:00 AM,8.4,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Cameron Dicker
LAC
K",,,*BYE*,--,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Brandon Aubrey
Dal
K",,,@SF,Sun 6:20 PM,7.9,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Brandon McManus
Jax
K",,,@Buf,Sun 7:30 AM,6.4,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Brett Maher
LAR
K",,,Phi,Sun 2:05 PM,8.3,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Eddy Pineiro
Car
K",,,@Det,Sun 11:00 AM,5.8,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Jason Sanders
Mia
K",,,NYG,Sun 11:00 AM,8.3,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Cairo Santos
Chi
K",,,@Wsh,Thu 6:15 PM,7.4,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Dustin Hopkins
Cle
K",,,*BYE*,--,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Nick Folk
Ten
K",,,@Ind,Sun 11:00 AM,7.6,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Riley Patterson
Det
K",,,Car,Sun 11:00 AM,8.4,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Greg Zuerlein
NYJ
K",,,@Den,Sun 2:25 PM,8.2,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Greg Joseph
Min
K",,,KC,Sun 2:25 PM,7.7,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Chris Boswell
Pit
K",,,Bal,Sun 11:00 AM,5.9,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Wil Lutz
Den
K",,,NYJ,Sun 2:25 PM,7.6,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Matt Prater
Ari
K",,,Cin,Sun 2:05 PM,8.5,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Anders Carlson
GB
K",,,@LV,Mon 6:15 PM,8.2,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Blake Grupe
NO
K",,,@NE,Sun 11:00 AM,6.7,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Chase McLaughlin
TB
K",,,*BYE*,--,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Ka'imi Fairbairn
Hou
K",,,@Atl,Sun 11:00 AM,8.1,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Chad Ryland
NE
K",,,NO,Sun 11:00 AM,6.9,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Joey Slye
Wsh
K",,,Chi,Thu 6:15 PM,8.0,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Tristan Vizcaino
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Cade York
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Zane Gonzalez
Q
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Tanner Brown
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Chris Naggar
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Christopher Dunn
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Robbie Gould
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Mason Crosby
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Rodrigo Blankenship
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Michael Badgley
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Austin Seibert
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Nick Sciba
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Elliott Fry
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Caleb Shudak
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Ryan Succop
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Lirim Hajrullahu
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Josh Lambo
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
"Randy Bullock
FA
K",,,--,,--,--/--,--/--,--/--,--/--,--/--,--,NFL Week 4
